Date,Time,Sender,Message
,원명,오후 3:55,수업 중이에요??
,원명,오후 3:55,엄마
,엄마,오후 3:56,전화해 
,엄마,오후 3:57,수업중 아니야~~
,원명,오후 4:10,elsis
,원명,오후 3:04,전화할게요
,원명,오후 3:04,?
,원명,오후 3:04,엄마
,엄마,오후 6:45,아들~저녁 먹었어?
,엄마,오후 6:46,엄마는 버스 안.
,엄마,오후 6:46,오늘부터 오후 수업이였어.
,원명,오후 9:52,엄마 
,원명,오후 9:52,나 군대
,원명,오후 9:52,사진 있는거 보내주세요
,엄마,오후 9:54,사진 3장
,엄마,오후 9:55,사진
,엄마,오후 9:56,사진 2장
,원명,오후 9:29,엄마
,원명,오후 9:29,어렸을 때 사진 가지고 있어요
,원명,오후 9:32,??
,엄마,오후 9:33,잠깐만.
,엄마,오후 9:38,사진 3장
,엄마,오후 9:39,사진
,엄마,오후 9:40,사진
,엄마,오후 9:48,핸폰 앨범에 있는 것만 보냈는데
,원명,오후 9:48,아뇨
,원명,오후 9:48,괜찮아요
,엄마,오전 11:37,아들~전화했니?
,원명,오전 11:44,아니요
,엄마,오전 11:45,조금전에 국제전화가 왔었어.
,엄마,오전 11:45,아들~즐거운 하루 보내.
,원명,오전 11:46,내 엄마도 좋은 하루 보내세요
,원명,오전 11:46,😉
,엄마,오후 11:06,아들~
,원명,오전 9:04,"11 Aeolus Ave, Ryde, NSW, 2112"
,엄마,오전 9:36,알써.
,원명,오후 6:52,보이스톡 해요
,원명,오후 6:57,보이스톡 4:50
,원명,오전 9:18,보이스톡 해요
,원명,오전 9:18,보이스톡 응답없음
,엄마,오후 8:02,사진 8장
,엄마,오후 3:02,아들~잘 지내지?
,원명,오후 4:33,보이스톡 해요
,원명,오후 4:55,보이스톡 21:36
,엄마,오후 4:59,"거울, 동전지갑,컵받침 등등 "
,원명,오후 5:39,사진
,원명,오후 5:40,사진
,원명,오후 5:40,사진
,엄마,오후 5:41,인형 큰거는 비쌀꺼야.
,엄마,오후 5:42,그리고 인형은 몇개 필요해?
,원명,오후 12:44,엄마 아직 남대문 안 갔어요??
,엄마,오후 12:45,가는중~다음역에서 내려.
,엄마,오후 1:07,사진 2장
,엄마,오후 1:08,"소주잔,위스키잔도 있어"
,원명,오후 1:08,보이스톡 해요
,원명,오후 1:11,보이스톡 2:53
,엄마,오후 1:14,사진
,엄마,오후 1:14,냉장자석 
,원명,오후 1:14,그면
,원명,오후 1:14,복주머니 말고
,원명,오후 1:15,사진
,원명,오후 1:16,이걸로 사다주세요
,원명,오후 1:16,얼마나 해요??
,원명,오후 1:17,자석 10개랑
,원명,오후 1:18,인형 남녀 두쌍
,원명,오후 1:18,이 정도면 될 것 같아요
,엄마,오후 1:19,사진
,엄마,오후 1:19,8000원
,엄마,오후 1:19,어때?
,원명,오후 1:20,좋아요
,원명,오후 1:20,이걸로 사주세요
,원명,오후 1:20,인형
,엄마,오후 1:22,사진
,원명,오후 1:22,이거 좋아여
,원명,오후 1:22,이걸로 해주세요
,엄마,오후 1:22,개별포장 4개 만원
,원명,오후 1:23,그면 뭐 16개 정도 사주세요
,원명,오후 1:23,4만원
,원명,오후 1:23,어치
,원명,오후 1:23,충분할 것 같아요
,원명,오후 2:56,https://m.blog.naver.com/khd9345/221572135923
,엄마,오후 3:02,읽어 볼께.
,원명,오후 3:02,네
,원명,오후 3:03,무인이고 한국어 나와서
,엄마,오후 3:03,알써.
,원명,오후 3:03,일본처럼 할 필요 없어요
,원명,오후 8:01,보이스톡 해요
,원명,오후 8:03,보이스톡 1:01
,엄마,오전 11:11,아들~전화 안했지?
,원명,오전 11:29,네
,원명,오전 11:30,전화 안했어요
,원명,오후 5:19,보이스톡 해요
,원명,오후 5:25,보이스톡 6:21
,원명,오후 12:33,phone number : 0435962517
,원명,오후 8:21,사진
,엄마,오후 8:22,한개면 되지?
,원명,오전 9:00,네~~
,원명,오후 5:08,엄마
,원명,오후 5:08,화장품 안가져와도 돼요
,엄마,오후 5:09,샀는데.
,엄마,오후 5:09,나중에 써.
,원명,오후 5:09,네~~
,엄마,오후 5:10,기내 100ml 초과 안하면 되는거지?
,원명,오후 5:10,네
,원명,오후 5:10,기내에서
,원명,오후 5:10,치약 칫솔 슬리퍼 다 줘요
,엄마,오후 5:11,숙소에서?
,원명,오후 5:11,기내에서요
,원명,오후 5:11,숙소에서는
,원명,오후 5:11,제꺼 있어ㅛ요
,엄마,오후 5:11,칫솔도 있어?
,원명,오후 5:11,네
,엄마,오후 5:12,ㅇㅋ
,원명,오전 10:47,보이스톡 해요
,원명,오전 10:50,보이스톡 2:44
,엄마,오전 11:07,이모 캐리어 가져 가기로 했어.
,엄마,오전 11:07,서핑 조심히 타^^
,원명,오전 11:12,그게 더 괜찮아 보여요
,원명,오전 11:12,알겠어요
,엄마,오후 6:42,19:30분 보딩
,엄마,오후 6:42,탑승구에 앉아 있어.
,원명,오후 6:50,엄마
,원명,오후 6:50,전화했었는데요
,엄마,오후 6:50,방금. 
,엄마,오후 6:51,보이싱 인줄 알고 안받았어.
,엄마,오전 6:36,수화물에 도착.
,엄마,오전 6:55,아들~어디야?
,엄마,오전 6:55,B 출구에 있어.
,원명,오전 11:55,20분까지 갈게요
,원명,오전 11:55,엄마
,엄마,오전 11:56,그래~
,엄마,오전 11:56,2시30분까지 나갈께.
,원명,오후 12:07,네~~
,엄마,오후 12:09,화장실 들렸다 가면 조금늦을수도 있어.
,원명,오후 12:17,이제 전화되요
,원명,오후 12:17,돌아왔어요
,엄마,오후 12:17,동상 앞에 있어.
,원명,오후 12:21,보이스톡 해요
,원명,오후 12:22,보이스톡 0:37
,원명,오후 3:43,7시쯤 도착할 것 같아요
,엄마,오후 3:44,차 밀려?
,원명,오후 3:44,아니요 콜 택시가 안 잡혀서
,원명,오후 3:44,지하철 타고 가려고요
,엄마,오후 3:44,그래~조심히 와.
,원명,오후 4:48,사진
,엄마,오후 4:57,어디쯤?
,원명,오후 4:59,15분이면 도착해요
,엄마,오후 4:59,그래
,엄마,오후 5:00,저녁은 고기 사다가 집에서 먹을까?
,원명,오후 5:00,들어가서 애기해요😊😊
,엄마,오후 5:31,아들~왜?
,원명,오후 5:32,캐리어 끌고 가느라
,원명,오후 5:32,카톡어려워서요
,원명,오전 11:12,https://maps.app.goo.gl/pZV4SUjnkwwoYUoJ7?g_st=com.iwilab.KakaoTalk.Share
,엄마,오후 12:23,집 도착.
,엄마,오후 12:36,친구들에 선물 주는거 잊지 말고 
,원명,오후 12:44,네 좀 쉬고 있어요
,엄마,오후 12:44,ㅇㅋ
,원명,오후 1:17,4시 반쯤 들어갈 것 같아요
,엄마,오후 1:20,그래 천천히 놀다 와.
,원명,오후 2:04,보이스톡 해요
,원명,오후 2:06,보이스톡 1:14
,원명,오후 2:11,비 좀 피하고 갈게요
,원명,오후 2:12,보이스톡 해요
,원명,오후 2:14,보이스톡 2:25
,원명,오후 2:32,보이스톡 해요
,원명,오후 2:34,보이스톡 1:26
,원명,오후 3:45,사진 30장
,원명,오후 3:47,사진 29장
,원명,오후 3:02,보이스톡 해요
,원명,오후 3:03,보이스톡 0:37
,원명,오후 7:32,사진 28장
,원명,오후 7:32,동영상
,원명,오후 7:32,동영상
,원명,오후 7:33,사진 30장
,원명,오후 7:33,사진 4장
,원명,오후 10:05,가고 있어요
,원명,오후 10:06,40분 쯤 도착할 것 같아요
,엄마,오후 10:06,조심히 와.
,원명,오후 10:25,사진 24장
,원명,오후 10:25,동영상
,엄마,오후 10:43,왜 안오니?
,원명,오후 10:44,5분이면 가요
,엄마,오후 10:44,ㅇㅋ
,원명,오후 11:22,동영상
,원명,오후 11:22,동영상
,원명,오후 5:21,동영상
,원명,오후 5:21,동영상
,원명,오후 5:21,동영상
,원명,오후 5:22,사진 30장
,원명,오후 5:23,사진 28장
,원명,오후 5:23,동영상
,원명,오후 5:23,동영상
,원명,오후 5:24,사진 19장
,원명,오후 5:24,동영상
,원명,오후 5:24,동영상
,원명,오후 5:24,동영상
,원명,오후 5:24,동영상
,원명,오후 5:24,동영상
,원명,오후 5:24,동영상
,원명,오후 5:25,동영상
,원명,오후 5:26,사진 28장
,원명,오후 5:26,동영상
,원명,오후 5:27,동영상
,원명,오후 5:27,사진 5장
,원명,오전 9:30,보이스톡 해요
,원명,오전 9:30,보이스톡 0:13
,원명,오전 9:30,보이스톡 해요
,원명,오전 9:30,보이스톡 0:14
,엄마,오전 10:22,사진
,원명,오후 2:55,please attach a fragile sticker ob my luggage
,원명,오후 4:43,엄마 보딩 했어요?
,엄마,오후 5:25,방금 gate에 도착했어.
,엄마,오후 5:25,짐 찾아서 리호네 집에 갔니?
,원명,오후 5:26,저는 지하철 탈라고요
,원명,오후 5:26,가서 전화할게요
,원명,오후 5:27,씻고 전화할게요
,엄마,오후 5:27,ㅇㅋ
,원명,오후 6:02,도착했어요
,엄마,오후 6:03,통화 가능해?
,원명,오후 6:32,보이스톡 해요
,원명,오후 6:33,보이스톡 취소
,엄마,오후 6:33,전화해.
,원명,오후 6:33,보이스톡 해요
,원명,오후 6:38,보이스톡 5:03
,엄마,오후 7:45,보딩했어~
,원명,오후 7:45,조심히 가고
,원명,오후 7:45,내일 전화할게요😘
,엄마,오후 7:47,울아들 덕분에  7일 동안 즐거웠어.
,엄마,오전 8:28,아들~도착.
,원명,오전 11:29,보이스톡 해요
,원명,오전 11:29,보이스톡 0:09
,엄마,오후 1:16,숙소엔 잘 들어 갔지?
,원명,오후 1:17,내
,원명,오후 1:17,이제 나와서 밥 먹으려고요
,엄마,오후 1:18,멋진 곳에 가서 사진 찍으면 보내줘.
,원명,오후 1:19,👍
,엄마,오후 1:19,맛있게 먹어.
,엄마,오후 5:11,사진
,원명,오후 1:27,보이스톡 해요
,원명,오후 1:27,보이스톡 응답없음
,원명,오후 4:37,보이스톡 해요
,원명,오후 4:37,보이스톡 취소
,원명,오후 4:37,엄마
,원명,오후 4:37,밖이에요? 
,엄마,오후 5:46,지금은 집이야.
,원명,오후 8:26,보이스톡 해요
,원명,오후 8:26,보이스톡 취소
,원명,오전 8:45,보이스톡 해요
,원명,오전 8:56,보이스톡 10:49
,원명,오전 9:51,보이스톡 해요
,원명,오전 10:00,보이스톡 9:11
,엄마,오후 4:03,서울엔 첫눈이 내려.
,엄마,오후 4:03,함박눈은 아니지만
,엄마,오후 4:04,진눈깨비
,엄마,오후 4:04,제법 내려.
,원명,오후 6:49,이제 진짜 겨울이네요
,원명,오후 6:49,❄️☃️⛄️
,원명,오후 2:18,보이스톡 해요
,원명,오후 2:19,보이스톡 취소
,엄마,오후 3:04,아들~통화가능
,원명,오후 3:30,보이스톡 해요
,원명,오후 3:31,보이스톡 1:17
,원명,오후 12:38,보이스톡 해요
,원명,오후 12:51,보이스톡 12:43
,원명,오후 5:14,보이스톡 해요
,원명,오후 5:16,보이스톡 1:14
,원명,오후 3:55,보이스톡 해요
,원명,오후 4:04,보이스톡 8:55
,원명,오후 1:53,보이스톡 해요
,원명,오후 1:53,보이스톡 응답없음
,엄마,오후 1:54,수업중이야
,원명,오후 1:54,네~~
,엄마,오후 1:54,저녁에 통화하자.
,원명,오후 1:55,내일 전화할게요
,원명,오후 4:52,엄마 끝났어요??
,엄마,오후 5:04,영화보니?
,원명,오후 5:04,집에 왔어요
,엄마,오후 5:05,갈께.
,원명,오후 5:05,네
,원명,오전 10:37,11시 30분까지 갈게요
,엄마,오전 10:47,알았어.
,원명,오후 1:30,핸드폰으로 동의하라고 온거 동의해주세요
,엄마,오후 1:32,완료.
,원명,오후 3:34,오늘 집에서 밥 먹어요
,엄마,오후 3:47,ㅇㅇ
,원명,오후 12:01,15분 늦어요
,원명,오전 11:13,12시까지 갈게요
,엄마,오전 11:23,그래.
,엄마,오후 5:58,이모네 7시까지 가면 돼.
,엄마,오후 4:38,카페야?
,엄마,오전 11:54,아들~나가서 먹을까?
,엄마,오후 12:02,밖에서 맛있게 먹자.
,엄마,오후 12:02,엄마 세수한다.
,원명,오후 12:02,네
,원명,오후 12:02,잠시만요
,엄마,오후 12:10,15분정도 걸려
,엄마,오후 12:11,공부 끝나면 연락해.
,엄마,오후 12:11,배 안고프니까
,원명,오후 12:12,네
,엄마,오후 12:35,가고있어
,엄마,오후 3:30,스카에 있어?
,엄마,오후 11:29,늦니?
,엄마,오후 5:13,저녁 먹고 오니?
,원명,오후 5:34,네
,원명,오후 5:34,먹고가요
,엄마,오후 5:35,알써.
,원명,오전 10:57,사진
,원명,오전 10:58,5만원 추가 할인
,원명,오전 11:04,사진
,엄마,오후 11:37,아들~늦네.
,원명,오후 11:44,조금 늦어요
,엄마,오후 11:44,그래~조심히 와.
,원명,오후 5:51,저녁은 먹었어요??
,원명,오후 5:51,엄마
,원명,오후 5:51,😊
,엄마,오후 6:44,교육 중이여서ㅠㅠ
,엄마,오후 6:44,지금 회 먹으러 갈꺼야.
,엄마,오후 6:45,너두 잼나게 놀고 
,원명,오후 9:43,네~~ 저도 중계역이에요
,원명,오후 9:43,잘 자고 내일 봐요
,원명,오후 9:43,🥰
,엄마,오후 9:44,그래~(뽀뽀)
,엄마,오후 6:54,아들~어디야?
,원명,오후 6:57,밥 먹고 있어요
,엄마,오후 7:20,집이야
,엄마,오후 7:20,늦어?
,원명,오후 7:26,10시요
,엄마,오후 7:27,ㅇㅋ
,엄마,오전 10:51,아들~일어났어?
,엄마,오전 10:51,몸은 좀 어때?
,원명,오전 10:51,네~~
,원명,오전 10:51,괜찬하요
,원명,오전 10:51,죽 먹었어요
,엄마,오전 10:53,다행이네.
,엄마,오전 10:53,효준이와 통화했어
,엄마,오전 10:53,?
,원명,오전 10:53,아뇨
,원명,오전 10:53,이모랑
,원명,오전 10:53,했는데
